任务,特征方案,模型,split,target,r2,rmse,mae
任务1_品质预测,R210单光谱,XGBoost回归,测试集,titration_VC,0.10751598542070351,6.903358945557607,4.734565204302979
任务1_品质预测,R210单光谱,XGBoost回归,测试集,titration_糖度,0.10534057131555763,1.4057066878827675,1.0901945718129475
任务1_品质预测,R210单光谱,XGBoost回归,测试集,titration_糖酸比,0.11049411450148594,3.508127087794589,2.8570910965348175
任务1_品质预测,R210单光谱,XGBoost回归,测试集,titration_酸度,0.03952723041338135,0.12705662593119452,0.09695609343051911
任务1_品质预测,R210单光谱,XGBoost回归,验证集,titration_VC,0.19838661367793564,7.955852966094026,5.921280291739908
任务1_品质预测,R210单光谱,XGBoost回归,验证集,titration_糖度,0.28060306898233645,1.3022994126802654,1.0488450129826865
任务1_品质预测,R210单光谱,XGBoost回归,验证集,titration_糖酸比,-0.057011318368499486,3.837359521161813,3.037008004275783
任务1_品质预测,R210单光谱,XGBoost回归,验证集,titration_酸度,-0.17279528531207844,0.1317023612513397,0.09913969592253366
任务1_品质预测,R210单光谱,岭回归,测试集,titration_VC,0.34932426990205023,5.894439797471923,4.522775304324654
任务1_品质预测,R210单光谱,岭回归,测试集,titration_糖度,0.44162300406495103,1.1105282183425333,0.9070587065933047
任务1_品质预测,R210单光谱,岭回归,测试集,titration_糖酸比,0.2889896660641418,3.1364535596410925,2.5899511554439467
任务1_品质预测,R210单光谱,岭回归,测试集,titration_酸度,0.06832200357182361,0.12513756767839815,0.09766974553701226
任务1_品质预测,R210单光谱,岭回归,验证集,titration_VC,0.39972389578968426,6.884617166336794,4.915866584502018
任务1_品质预测,R210单光谱,岭回归,验证集,titration_糖度,0.6205726162011183,0.9457816638682998,0.7545288330436086
任务1_品质预测,R210单光谱,岭回归,验证集,titration_糖酸比,0.32000897488558877,3.0778273995619982,2.483205435938575
任务1_品质预测,R210单光谱,岭回归,验证集,titration_酸度,0.0678807300812615,0.11741354450526724,0.08978025095690143
任务1_品质预测,R210单光谱,弹性网络,测试集,titration_VC,0.3573572861541924,5.857941446845469,4.640873568749024
